archive	path	bytes	lines	sha256	packages	plot_calls	setwd	runtime_install	absolute_windows_path	absolute_macos_path	set_seed	ggsave	explicit_device	secondary_axis	significance_annotation
2025	2025/中国地图+省份子图+采样点放大效果展示/中国地图+省份子图+采样点放大效果展示.R	4611	112	6b1bc4d5bf6884b2a68f29af18c2aaa84255e4be3c3b13dc84ee0406dca1e119	export;ggspatial;sf;tidyverse	coord_sf;geom_sf;geom_sf_text;ggplot;scale_fill_manual;scale_size_continuous;scale_x_continuous;scale_y_continuous;theme_bw	1	0	2	0	0	0	0	0	0
2025	2025/分类水平进化树+分组气泡图+多类型注释信息/分类水平进化树+分组气泡图+多类型注释信息.R	5066	143	f6c3b00d9a5cae9d075acab7c59c72ac0ed6ed9e07f159ad9fb1b8b1e3e097bd	MicrobiotaProcess;dplyr;forcats;ggnewscale;ggplot2;ggstar;ggtree;ggtreeExtra;phyloseq	geom_fruit;geom_hilight;geom_tiplab;ggtree;scale_color_manual;scale_fill_manual;scale_size_continuous	1	0	2	0	0	0	0	0	0
2025	2025/分组散点+配对连线+显著性/分组散点+配对连线+显著性.R	2617	63	0e24a0bb2c80b4f5c692f56bbfa2513681800b6fb82549f42703f115ea3b5d6a	dplyr;ggplot2;ggpubr;rstatix	geom_line;geom_point;ggplot;scale_fill_manual;scale_x_continuous;stat_pvalue_manual;theme_classic	1	0	1	0	0	0	0	0	1
2025	2025/双分组倾斜火山图/双分组倾斜火山图.R	6470	170	1f8acb50cb9ffe72fc1649152f0cdbc501e152c25c5897aad6afe29245f20828	DESeq2;RColorBrewer;dplyr;ggplot2;ggrepel;grid;microeco;scales	geom_abline;geom_point;geom_text_repel;ggplot;scale_fill_manual;scale_size_continuous;theme_bw	1	0	2	0	0	0	0	0	0
2025	2025/并列柱状图+组内差异字母标记+组间差异字母标记/并列柱状图+组内差异字母标记+组间差异字母标记.R	6151	156	6022b35fc8726781fd42e006d055b18ce6b4672393020c901361740d69f38a54	agricolae;ggplot2;ggpubr	geom_bar;geom_text;ggplot;scale_color_manual;scale_fill_manual;scale_y_continuous;stat_summary;theme_bw	1	0	2	0	0	0	0	0	0
2025	2025/并列箱线图+散点+气泡图+分组+显著性/并列箱线图+散点+气泡图+分组+显著性.R	8361	163	285d66eb710a8bb863d6cb47f7834a514a5b6010b0b083d8e548263a00409f61	dplyr;ggplot2;ggsignif;patchwork;rstatix	geom_boxplot;geom_hline;geom_label;geom_point;geom_signif;ggplot;scale_color_gradient2;scale_fill_manual;scale_size_continuous;scale_y_continuous;theme_classic	1	0	1	0	0	0	0	0	2
2025	2025/气泡图+热图+相关性r值与p值的可视化/气泡图+热图+相关性r值与p值的可视化.R	5041	114	dc5b966e74ccc834799f203d9cae0f6502f9460a5815e72ba2c3499be01b16ea	dplyr;ggnewscale;ggplot2;psych;tidyr	geom_point;geom_tile;ggplot;scale_fill_gradient2;scale_fill_manual;scale_size_continuous;scale_x_discrete;scale_y_discrete;theme_bw	1	0	2	0	0	0	0	0	0
2025	2025/组合图-箱线图+显著性+散点图+拟合曲线/组合图-箱线图+显著性+散点图+拟合曲线.R	4281	91	dd1f8537724f039072fcefa94b373f525383efd30947f97b066db6f76da3405f	dplyr;ggh4x;ggplot2;ggpmisc;ggpubr;rstatix	geom_boxplot;geom_point;geom_smooth;geom_vline;ggplot;scale_color_manual;scale_fill_manual;scale_x_continuous;stat_pvalue_manual;theme_bw	1	0	2	0	0	0	0	0	1
2025	2025/组合嵌套图—柱状堆积图+并列箱线图/组合嵌套图—柱状堆积图+并列箱线图.R	3202	73	c8706cd45eed57ab4eb6bf6d10f040a760495629ed9d9692b03e1e3759875cf2	dplyr;ggh4x;ggplot2	geom_boxplot;geom_col;geom_errorbar;ggplot;scale_color_manual;scale_fill_manual;scale_y_continuous;theme_bw	1	0	2	0	0	0	0	0	0
2026	2026/mantel test进阶玩法1—多组学整合分析/Miccorplot3.R	7572	208	562cc250edd84763982d65ddfb611c0b77f6a76092e862635f6b62f940cdad1f	ggsymbol;psych;stringr	geom_point;geom_symbol;geom_text;geom_tile;ggplot;scale_fill_distiller;scale_fill_gradient2;scale_size;theme_void	0	0	0	0	0	0	0	0	0
2026	2026/mantel test进阶玩法1—多组学整合分析/Miccorplot3_2.R	7572	208	0af5133781c2e40f65b9d7eb559b4555de9809e77a1234dc894f771d97683432	ggsymbol;psych;stringr	geom_point;geom_symbol;geom_text;geom_tile;ggplot;scale_fill_distiller;scale_fill_gradient2;scale_size;theme_void	0	0	0	0	0	0	0	0	0
2026	2026/mantel test进阶玩法1—多组学整合分析/Miccorplot3_3.R	7572	208	9c4454dc20914a5b0e084fcdc161c250223b99ed773120f8ca983930a0316cd1	ggsymbol;psych;stringr	geom_point;geom_symbol;geom_text;geom_tile;ggplot;scale_fill_distiller;scale_fill_gradient2;scale_size;theme_void	0	0	0	0	0	0	0	0	0
